67	Miles Bridges\bridgmi02	20	CHO	80	25	21.2	0.527	1.2	7.5	13.1	0.548	15.1	-0.9	0.1
68	Isaiah Briscoe\briscis01	22	ORL	39	0	14.3	0.438	2.2	3.5	6.7	0.455	14.1	-5.4	0.4
69	Ryan Broekhoff\broekry01	28	DAL	42	0	10.8	0.603	0.5	4.0	10.7	0.621	14.3	-0.5	-0.5
70	Malcolm Brogdon\brogdma01	26	MIL	64	64	28.6	0.575	3.2	15.6	17.8	0.614	20.7	2.0	0.1
71	Dillon Brooks\brookdi01	23	MEM	18	0	18.3	0.463	0.9	7.5	7.6	0.499	20.9	-5.0	-1.2
72	MarShon Brooks\brookma01	30	MEM	29	0	13.3	0.494	0.9	6.6	11.6	0.518	23.6	-1.9	-1.1
73	Bruce Brown\brownbr01	22	DET	74	56	19.6	0.436	1.2	4.3	6.9	0.469	11.5	-4.4	1.0
74	Jaylen Brown\brownja02	22	BOS	74	25	25.9	0.525	1.4	13.0	13.5	0.547	22.1	-1.6	-0.4
75	Lorenzo Brown\brownlo01	28	TOR	26	0	8.2	0.366	1.1	2.1	6.3	0.380	17.9	-5.4	1.9
76	Sterling Brown\brownst02	23	MIL	58	7	17.8	0.550	1.4	6.4	10.9	0.563	15.2	-1.8	0.3
77	Troy Brown Jr.\browntr01	19	WAS	52	10	14.0	0.462	1.5	4.8	11.1	0.487	16.5	-1.7	-1.0
78	Jalen Brunson\brunsja01	22	DAL	73	38	21.8	0.523	3.2	9.3	12.8	0.549	19.1	-1.2	-0.5
79	Thomas Bryant\bryanth01	21	WAS	72	53	20.8	0.648	1.3	10.5	21.0	0.674	17.6	2.3	-0.3
80	Reggie Bullock\bullore01	27	TOT	63	60	29.8	0.537	2.0	11.3	10.5	0.563	15.8	-0.7	-0.4
80	Reggie Bullock\bullore01	27	DET	44	44	30.8	0.542	2.5	12.1	11.0	0.569	16.7	-0.1	-0.5
80	Reggie Bullock\bullore01	27	LAL	19	16	27.6	0.523	1.1	9.3	9.1	0.545	13.7	-2.1	-0.1
81	Trey Burke\burketr01	26	TOT	58	8	19.4	0.482	2.7	10.9	16.5	0.524	24.8	1.5	-1.4
81	Trey Burke\burketr01	26	NYK	33	7	20.9	0.455	2.8	11.8	15.6	0.496	26.1	0.9	-1.5
81	Trey Burke\burketr01	26	DAL	25	1	17.4	0.532	2.6	9.7	17.9	0.574	22.8	2.3	-1.1
82	Alec Burks\burksal01	27	TOT	64	24	21.5	0.469	2.0	8.8	12.7	0.523	19.0	-0.6	-0.7
82	Alec Burks\burksal01	27	UTA	17	0	15.8	0.482	1.2	8.4	12.4	0.547	23.2	-0.4	-0.2
82	Alec Burks\burksal01	27	CLE	34	24	28.8	0.466	2.9	11.6	13.2	0.517	19.2	-0.2	-1.2
82	Alec Burks\burksal01	27	SAC	13	0	9.8	0.450	0.8	1.7	9.0	0.495	8.5	-3.9	2.8
83	Deonte Burton\burtode02	25	OKC	32	0	7.5	0.451	0.3	2.6	7.0	0.470	16.3	-4.9	0.6
84	Jimmy Butler\butleji01	29	TOT	65	65	33.6	0.499	4.0	18.7	20.2	0.571	22.3	2.8	0.9
84	Jimmy Butler\butleji01	29	MIN	10	10	36.1	0.525	4.3	21.3	22.3	0.579	23.0	4.7	2.2
84	Jimmy Butler\butleji01	29	PHI	55	55	33.2	0.494	4.0	18.2	19.8	0.569	22.1	2.4	0.7
85	Bruno Caboclo\cabocbr01	23	MEM	34	19	23.5	0.533	1.5	8.3	12.4	0.571	15.9	-1.1	0.1
86	José Calderón\caldejo01	37	DET	49	0	12.9	0.433	2.3	2.3	7.1	0.453	10.9	-4.2	0.3
87	Kentavious Caldwell-Pope\caldwke01	25	LAL	82	23	24.8	0.530	1.3	11.4	12.9	0.568	18.1	-0.3	-0.1
88	Isaiah Canaan\canaais01	27	TOT	30	16	21.0	0.494	2.8	6.0	8.0	0.518	14.2	-2.7	-1.4
